id	summary	text	category
114	Another great item for desk	This made my life easier (I got 2 since i have backups and photo files for graphic work). I hate cords...hanging from the back of desk. Cut into my desk, utiized 1 drawer for all my connections and hooked up with these hubs. PERFECT. No cords to trip up dogs. A+	0
115	Does what I wanted	I was asking some co-workers how I could attach my computer to my TV so I could watch movies and TV on a bigger screen, and they suggested the Roku.  Well once I found the right port it worked exactly as I was told.  I put in the numbers for my wifi and it came up, I had to figure out my remote to get it turned on to the HMDI but that was not hard.  I had a little trouble finding the Amazon Prime set up but once I found the right page I was able to set it up with the password.  The box is very small and the remote has very few button, which for me is a big plus.Now the bad part was the Netflex free is only for a free trial, as is Hulu Plus, so I decided I did not need them. Not everything is free, but there is a lot of free stuff.The really good part was once I started searching for channels I found an amazing number of interesting ones.  Plus I don't have to put in the ones for shopping or sports that I would have received even if I did not want them on cable.  There is more than enough for us to watch.  The Amazon Prime works great, I just mark the programs I am interest in on my watchlist and there they are.  Since have not had regular TV or cable in years everything is new to us.  My husbands favorites are there Pawn Stars, American Restoration, American Pickers and he can sit comfortable in his chair and not crowd around our computer.There is not enough hours in the day for all the things we want to do.  Plus I can listen to my music from my Amazon Cloud.I would definitely recommend it,  If you are interested in movies the Netflex or Hulu Plus may be the way you would want to go, and it is possible we will consider one of them in the future.  Those are a lot more economical than cable,and in my neighborhood the cable companies have not replaced the cables in years.	0
116	Love my ipod	I received this ipod as a gift although I did ask for it. My sister has the iphone and had downloaded many applications from the istore especially games. I was hooked but I didn't want to pay for the extra data program to own the phone so the next best thing was the ipod touch. It does everything that the phone does without the phone or the expense of the service. As long as I am near Wi-fi I can search the net, check e-mail etc. at no cost. Many of the applications are free from itunes and even when there is a charge it is minimal when compared to buying a separate program for your computer or game box. It is very easy to use for one who is not exactly a techno wiz. I just absolutely love this ipod.	0
117	Great product	Great product to use for lots of things. Glasses, iPods, iPhones...just about anything that requires intricate tools to work on.	0
118	Bose Companion 3 Series 2 Multimedia Speaker System	I just recently purchased this speaker system and it is excellent! If you are looking for basic computer speakers that will put out the same volume and quality of sound as a full-on receiver stereo system, then these are the speakers for you. However, there is only one issue that I found and have also seen other people mention in their reviews, and that is if you frequently listen to quiet music, such as classical or easy listening I would not recommend this system to you. There is a slight buzzing/white noise sound that is audible at low volumes, and when playing lighter music such as easy listening or classical you will be very annoyed by this. I listen to classical music when I study, and this is when I first noticed the light buzzing sound, but I have my old speakers to listen to the lighter stuff with. If, on the other hand you listen to mostly rock, dance, rap, hip-hop, r&b, or any music that requires some volume then these speakers are perfect for you. I really enjoy the fact that I can blast them at loud volumes without any distortion, similar to a proper 3-stacker stereo system (which honestly is what I expect from a premium brand like Bose). Cheers	1
119	It's music to my ears	Although I've used a Plantronics Bluetooth earpiece, I must admit that I've never been crazy about the idea of an earpiece.  The Jabra CRUISER2 Bluetooth In-Car Speakerphone is so much more comfortable for me to use while driving!  After I realized that it would take a couple hours to charge the unit, I plugged it into the car and it was ready for pairing by the time I arrived home from my day of errands.  The pairing was intuitive, the voice basically guided me through the process, and I was making my first hands free, earpiece free call in a minute!  The clarity is excellent and the battery is outstanding.  Because it's so cold outside now, I've charged it again, but the battery was still alive.  I love the option to charge the unit either in the car or via the usb option.  This is a lightweight unit, small in size and the clip is lightweight but sturdy.  It doesn't contain extraneous buttons or lights, just what it needs.  Listening to music through the FM worked, but I doubt that I'll use the function often.  All in all, I really like this speakerphone and see why my favorite warehouse club store offered it through their coupon booklet recently.	0
120	Nice tablet with some flaws	Pros: light weight, screen resolution, security, battery life, on board GPS antenna to use with any offline Navigation, Google Play store rocks.Cons: No flash player, it still does not support Tom Tom Navigation app, speakers are not loud enough, I have heard and also noticed that after some use screen starts squeaking from the edge.  So far no major issues.	1
121	Works as expected	Received the new battery very quickly and it holds it's charge for many days with normal usage.  No complaints, so far.	0
122	You MUST get this if you are into the SDR dongles!	I absolutely love this thing.  Only thing that could be better would be placing the USB power port on an end with the other connectors.  If you are into short wave listening and have an SDR dongle you gotta get one!  NooElec has great customer service too, not that you would ever need it.	1
123	Excellent Speakers, But Not Perfect	"I was in the market for new computer speakers to match my Apple Cinema Display and white/silver desktop theme of my Mac setup. I came across these speakers in a Mac forum and was taken with their simple but fresh look. I found these speakers new on Ebay for $60 and promptly bought them.I also currently own the Creature II speakers by JBL. They are essentially the previous version of JBL computer speakers before the Spot's were released. I have to compare the Spot's to the Creature II's of course.I'm very happy with sound of the Spot's. Just as I was with the Creature II's. I like the look of the Spot's even more and they take up less space on my computer desk. The subwoofer looks awesome with it's round shape, a rare feat for a subwoofer.My biggest gripe is the subwoofer switch. It is awkwardly placed next to one of the speakers ports in the back of the subwoofer. When you go to adjust the sub level, you can't help but hit your finger on the cord directly next to it. That is annoying. Also, there is one knob for ""sub-level"". The Creature II""s had 2 separate knobs on the front of the subwoofer. One for bass and one for treble. This only has one. I'm annoyed by the lack of control in that regard.However having established that, it doesn't take away from the sound experience and aesthetic look. I'm using the white covers and it looks awesome. A HUGE warning though, if you want to use the white covers, you must remove the black covers that come on the speakers as default. The instructions do not mention that the black ones need to be removed first, and it is not as obviously a conclusion as you would imagine. So make sure you remove the black covers first if you are going white. Lastly, taking off the covers is not easy. You will need to pry them off using the instructions noted. Don't be afraid to push, it's the only way they will come off."	1
124	Scrolling is unusable	There are many things I like about this mouse, but, unfortunately the scrolling is so terribly unusable that the pros don't really matter... To scroll you need to slide your finger up and down surface of the mouse.. You need to actually slide a significant distance before it actually activates the scroll. Once activated the scroll is very jumpy to the point of frustration...	1
125	awsome	loved this item i have it a five because it fit my computer perfect and the fact that i paid so little was even better.	0
126	Beautiful industrial design. Awesome picture quality. Clunky interface.	"I love the beautiful industrial design of this player. Great picture quality and useful audio analog outputs.  I don't care much for the trackpad remote or the clunky interface unfortunately. You have to swipe up and down to make selections. The wireless N only works on a 2.4ghz band so you can't connect to a 5ghz N channel.  I wasn't able to use the iPhone remote app as I suspect I'm on a ""different"" wireless network--the 5ghz band.  Amazon video prime works and in HD -but I can't turn off the beeps and alert navigating in the Network apps screen which will get annoying.  Still a great value!UPDATE: The proper iPhone Remote Controller App is Panasonic Remote 2012 (Doh!)UPDATE:  To turn off the beeping sound while navigating the web apps look for the settings within the Network app page itself and not the player settings. (Go to ""More"")"	0
127	Doesn't work	I bought this mp3 to bring on a tip. I didn't feel it was necessary to buy an expensive mp3 player. I guess you get what you pay for.	1
128	Solid state is faster	I added a second hard drive to my new computer and I chose a sold state device because of the speed. I do some video editing of family pictures and videos and this really help speed things up.Make sure to initialize the device after installing it, or windows won't see the device in the file manager	0
129	a must have item	If you don't have one....get one. I leave it in my truck so it's ready to be used when I travel. Who needs radios anymore. Sometimes I use my phone for pandora but for everyday use it's the Ipod. One day I hope to fill it up....hahahaha. Fat chance of that!	0
130	Flash Drive	New in package.  Works perfect.  Very fast great product.  PNY is a good MFG.  I have a another pny flash drive for 5 years and it is still fine but wanted a backup.	0
131	Matte Ionic Screen Protector for Note 8	Really like the way this screen protector cuts down on screen glare. Would have given it 5 stars but the package could use a bit more instructional info.  The kit includes a white patch that looks like a sticky tag you would write a note on, but it is actually a cleaning tool.  Use it to wipe off your device before putting on the screen saver.  This patch picks up tiny bits of dust you can't even see, and helps you get a bubble free placement of the screen. The screen does not interfere with the touch and pen functions of the Note 8. The kit arrived very quickly after ordering and I would recommend this to a friend.	0
132	Okay sound quality.  Great for instant pairing and sharing your speakers with other devices!	Pros:-NFC makes pairing super-easy....most of the time.-Connection is reliable and range is really good.-Re-pairs quite easily when you come back in range.Cons:-Bluetooth doesn't always pair the first time. Usually pairs the second time.-Sound quality is noticeably muddy over plugging directly into speakers.  Half of you will notice.  Half of you probably won't care.-No option for phone audio to play thru speakers. Only passes media and system sounds.  Granted, most people probably don't want this device for that reason.  It keeps your calls private even when you're paired and mutes the audio so you can hear your phone ring (doesn't ring thru the BT speakers), so that's good.	1
133	This is an unbelievable product	THIS WORKS SO WELL, I'm TEMPTED NOT TO GIVE IT TOO MUCH PRAISE AS SOMEONE MIGHT THINK I WORK FOR THE COMPANY THAT MANUFACTURES THESE!They work from an RF remote, which means you can be at one end of your house and turn on a lamp at the other end, or whatever you wish (120 V AC). I turn of one of my living room lamps after I get into my bedroom!  They are also great to use in a home theater environment.  Best of all, the price is fantastic.	0
134	Great fit - took some getting used to	The more I use this, the more I like it.  It was awkward at first but the more I use it, the more I find different ways to hold it.  I love the fact that it comes on and off sooooo easily and works great with my gel cover.  The only thing I wish is that somehow it was cloth covered.  It is just rubber to skin and that's not horrible but would be nicer with cloth (this is the only reason for it not getting 5 stars from me).Overall, worth the purchse, but don't give up on soon.  Use it for at least a week before you decide if you like it or not.	1
135	Programmed One Day	Item was defective, so I had to return it.  It accepted my wifi info initially during setup.  The following day it did not recognize the remote nor my wifi info.  I was able to sync the remote but was never able to reprogram the box.I replaced it with two Roku 1 versions and have not had any problems with the replacements.  In conclusion, I am an avid Roku user and love the little boxes.  I own four and have given three as gifts to family members.  This one has been the only one that malfunctioned.	1
136	The Best 60mm Macro on The Market	"My friend just bought this lens and let me check it out. In one word Fantastic! It is among the sharpest lens I have seen in a lens of this class even wide open. I have a 50D and that camera is pure torture on lesser lenses, but the Tamron has no problem keeping up with its hunger for resolution. The other two reviewers commented on the price, but I don't see that as a con as you are paying only a little more over Nikon and Canons (other brands to) for an extra stop. This is worth it to me. Most would argue you don't need the extra stop on most macro as you usually want more depth of field and this is true, but this lens also is intended for portraiture  and for that the extra light does come in really handy, even when doing flowers and what not a shallow DoF can help add interest to a subject.This lens does not have the build of say an ""L"" lens but does seem sturdy and have no doubts it would hold up well even if it got some rough treatment. The focus ring is smooth and responsive combined with its light weight makes this lens a joy to use. I will defiantly be ordering my own copy of this lens as soon as I get paid and can't wait. I highly recommend this lens to anyone looking for a macro in the 60mm range."	0
137	This came in handy	when I was staying in an apartment that had almost no way to connect my appliances and laptops in my bedroom to my living room where the Internet access router (and other appliances) were.  The wireless functionality on the Internet router was useless, and kept dropping connections, so I turned it off, used this relay in the bedroom to connected to a wireless access point attached to the Internet access router.	0
138	Not Bad	It's a good backpack. I bought it to lug my old HP laptop around and it works well as just a regular backpack too. I actually don't need to carry around my laptop with it but it does a great job with the laptop when I need to bring it around with me. All in all, it's a good buy.	0
139	Great Design, Good Quality Video	This little Sanyo doesn't shoot HD video, but the quality is very good nonetheless. It's a great fit for an average-sized hand and very easy to keep steady. The overall design is solid, and it produces great color. It picks up sound remarkably well, too. Forget shooting stills with this little video camera, though. They're better than nothing... but not an awful lot better. On the other hand, for design and handling ease no other camera I've tried beats the VPC-CG65 for shooting video.	0
140	Great cable, works at any distance without an issue.	I use this cable to plug my laptop in to the ethernet cable across the room. It wraps around the walls without an issue, and is very durable.	0
141	Works very well	Not too much to say about it, but have had it installed for about three weeks, and have had no issues. I have a 5 port version also on my network, which is about 2 years old and has been working fine, and continues to do so.	0
142	nice graphic card	I am not sure how to review this product in terms of its specs.  So I will just mention my experience with it in plying Skyrim.When you are on the highest setting, the game might stutter from time to time. But after lower several settings (e.g. shadow detail to medium), the game runs flawlessly (even with the skyrim HD mod).	0
143	It's good but not like I expected!	The backpack is rather large, a little bit larger than I though it would be which doesn't make perfect for my use.The thing that most threw me away were the side pads that are rather noticeable. There is no way to not have them hanging there, it makes you look odd especially if you are covering an event and need something to hold everything and still look professionalThe inside of the bag was nicely padded but the laptop sleeve seemed a little bit too tight. The Amazon Basics logo on the front just screams &#34;cheap bag&#34; for some reason. The handle on the top isn't too great and the interior of the front has a very cheap plasticky/cheap feel.	1
144	Utter garbage	I have yet to get anything to actually run on this hard drive, having tested with multiple operating systems, they all freeze on bootup. Even as extra storage, I've had nothing but issues with it.	1
145	DON'T BLAME THE ADAPTER -  READ DESCRIPTION	I see a lot of bad reviews for an issue that is related to people not reading the item description and then blaming the product.Here is the correct informationThis is a passive adapter - Note passive adapters only function with keyboards and mice that are compatible with both USB and PS/2 interface.The description also states in nice BIG CAPITAL letters:THIS ADAPTER IS FOR USE WITH KEYBOARDS THAT ORIGINALLY SHIPPED WITH A PS2/USB ADAPTER LIKE THIS. IT WILL NOT WORK WITH ANY PS2 KEYBOARD.So you need to check the documentation of the keyboard.  If the keyboard is compatible with both PS/2 and USB then it will work on any pc or laptop.  If the keyboard is not compatible with BOTH ps/2 and USB then it will never work.Hope this helps any future buyers make the correct decisions.  This applies to any brand adapter including both Keyboard and Mouse adapters.	0
146	Great HDMI cable	High quality low cost HDMI cable worked well with HD digital' HD games and Blu-ray DVD's.  The fit into the receptacle is snug and the cable is flexible.	0
147	It Works!	I have looked for this in the past but this was the best buy.  The screen works well and I have not seen any dead pixels.	0
148	Good Clamps	"Heavy duty plastic is what you will find here. Some have said they were disappointed because they couldn't use them for other projects, but they are meant to be used for clamping a background to the stand (hence the title ""Muslin Clamps""). I don't recommend them for anything beyond that, but they do what they're designed to do and they do it very well."	0
149	Priceless Planet Vewing With Kids For Under $50	The kids (7 & 11) and I were fascinated looking at Jupiter and its moons with this handy telescope.  I didn't want the hassle of a tripod for the kids viewing and this works great on a table top.  I also bought the accessory kit that came with essential additional lenses and the aiming scope and a carrying bag.  Next on the way is a 2X lens to get a better view of Saturn.	0
150	Inexpensive DVD player	Just what was needed for the bedroom to fit in a tight spot and still deliver the quality picture on my HD TV.	0
151	Excellent product A++	Product seems well made and durable...and works right out of the box as was claimed...I like this product and would recommend this to anyone.	0
152	perfect replacement	This works just like the original that I lost.  well constructed, and at a good price, so it should last a long time.  If I don't lose it.	0
153	The Coolest Little Cheap Do-dad I Have Ever Owned!	This little guy alllows me the privalidge of hearing all of my laptop's music and movies with my corded high-end headphones, as well as, use the boom mic to talk into my laptop without having to buy a soundcard that would allow the same for a fraction of the cost! I can also connect this little guy to my game system that doesn't have an audio jack thse same high-end headphones become the ultimate gamer's headset! MONEY WELL SPENT!	0
154	Didn't work with my LG phone but did with Motorola phone	This seems to be a great charger - when it works. It seems to work fine with my wife's Tracfone - a Motorola EX124G but would not charge my Tracfone - an LG 500G... so I'm reducing the rating by one star. I suspect the blame may lie more on the LG phone side, but I am still disappointed that I need another charger to charge my LG phone.By the way, I highly recommended buying from a reputable retailer to make sure you get the real thing. I bought mine from Amazon.	0
155	Inexpensive wireless mouse works great!!	For $5 this is a great wireless mouse.  Even for $10!  That includes shipping.  And it works flawlessly so far.  (If it stops suddenly I will amend this review.)	0
156	great sub cover	i used this grill with the Pioneer TS-SW3001S2 12-Inch Shallow Subwoofer with 1500 Watts Max Power, it makes that shallow look like a muscle speaker,it adds about 2 inches to the outer of the speaker but still looks great, i got rid of the mounting screws that came with the grill and bought 3 inch instead, the screws included were a bit short.	0
157	Genuine Product, Works Perfectly	After reading some of the other reviews out there on replacement batteries for cordless phones, I was unsure whether I should order any batteries sight unseen. Luckily, I found this seller and product offering.The batteries I received are idential in appearance to the original Uniden batteries I removed from my phones. They absolutely look to be genuine Uniden batteries, not cheap knock-offs. I installed them in my phones about one month ago. They took a full charge and they've been working 100% perfectly since, with no problems or untimely loss of charge.This is an excellent product at a very good price that I recommend without hesitation.	0
158	Fail	I have never been able to get this to work correctly.  As I have failed at so many electronic tricks, I assumed this was all my own fault.  But I see from some of the other reviews that other people had units that didn't work.  It would have been much easier if I hadn't had to go through the device to get to the cloud.Initially I was confused about why I had to own the device if the cloud is elsewhere.  What is the deal with the actually physical drive?  I don't worry too much about accessing my data and storage because it is always on the proper devices and backed up on storage drives.  We have clouds with both Amazon and iTunes so we can collect our data whenever we want to.If my network is down at home, am I able to access this cloud from elsewhere?  This is one of the things that doesn't necessarily make sense to me.  A cloud should not be dependent on my electricity or my internet being viable.	1
159	You get what you pay for with these.	"I know that many people will consider a $40 pair of in-ear phones to be on the high-priced side, but these are actually some of the cheaper earphones available.  They do exactly what you would expect:  provide a bass-heavy, rather unnatural, sound from portable media players.  As someone who normally uses a separate headphone amplifier (most often a C&C; XO) even with high-efficiency headphones, I really don't need the efficiency of these units.  The quality and clarity of the sound doesn't begin to compare with many of the units that are only a few dollars more.  Also, these seem to be made rather cheaply, with flimsy cables and tips that don't stay in place very securely.  (Not to mention the extremely frustrating difference in cable length between the earpieces.  This is a feature that I simply can't stand, even though I have several units from other manufacturers with the same silly design.)  Overall, I would suggest that these are suitable mainly for people who (1) don't really care too much about clarity, sound balance, and quality;  (2) like a lot of bass, even if it's not in the original recording; and (3) don't have much money to spend on such things.One last, off-topic comment:  I really wouldn't put much stock in reviewers who spell ""bass"" as ""base""...it suggests that the reviewer would be a person who, never having owned or driven anything other than a Yugo, would claim that the Yugo is the best car in the world. If you don't know how to spell ""bass"", I doubt that you have much experience with audio equipment in general."	1
160	Memory Problems	I recently built my first computer. A modest design running an Intel E6500 microprocessor. Since Windows XP is no longer supported I have been obliged to install Windows 7 Home 64-Bit. Frankly, I dislike it and wish I could stay with XP. One maddening thing, is that my computer has been crashing with fair frequency. The infamous Blue Screen Of Death. These BSOD's have been happening every one or two days. The crashes seem to be caused by a different failure every time. Maddening! My Event Log showed something called Error 41-63. There's a lot of stuff on the internet about this one, so it must be a common problem.I Googled and a number of good Samaritans suggested removing the memory sticks, one by one, and isolate the fault that way. I discounted this since the computer had brand new memory and it seemed to work fine for days at a time. How could it be faulty memory? I'm accustomed to thinking of silicon based solid-state devices as failure-proof when used properly.Googling, I found out about a free software program called MemTest86. You download it as an ISO image file. So you must have a DVD burning program that will allow you to make ISO image burns. Nero is a good example and there are numerous free alternatives. You must also set the BIOS on your computer to boot from the DVD drive at start-up. MemTests86 is self-booting and does not require an Operating System. It runs automatically. I used the menu version 4.0 which seems more comprehensive. It takes about half an hour to run a full sweep of 4 Gigs of memory. It will run indefinitely sweeping the memory, again and again, looking for intermittent errors. The first time I ran the program it reported no errors so I stopped it at half an hour. Big mistake! When I did a more thorough job and ran it for 40 minutes it lit up my screen with blood-red warnings of memory errors. Tens of thousands of memory errors.Remember the good Samaritans who suggested removing the memory sticks, one by one? Well, I should have listened to them. They were right. By selectively removing my memory sticks I quickly established that the problems are restricted to my No. 1 stick, entirely. Unfortunately, I had ordered my PNY memory from Amazon on September 1st and I cannot return it as defective (even though it's Amazons fault). Oh well, Caveat Emptor. I'm going to buy a second pair of these PNY chips despite getting burned, since I will then have a guaranteed match (and one spare), for my existing good RAM stick.The first thing I will do with my new PNY memory stick is run MemTest86. If your planning on buying any kind of RAM, do yourself a favor and test the memory while it's returnable. I have learned a lesson here; some manufacturers are indifferent to quality control. I hope this helps others.	1
161	Amazing product with an incredible price	Some of the best headphones I've ever owned. They don't have noise reduction but the earpieces do a great job of keeping outside noises to a minimum and therefore acting like a noise reduction feature. They exhibit great bass ability and the mids and highs are extremely clear. You'll hear details that you were never able to hear before when watching movies. I don't think I'll buy anything else other than Sennheiser Headphones ever again. Truly a different experience that everyone should enjoy.	0
162	No problems	Bought this for a iPad Nano. Dropped the Nano and broke the screen; Was able to get on their website and print a label so I could I could send my item to them. Everything was done on their website and did not need to talk with anyone.They fixed the Nano and sent it back in about 14 days. No hassles at all. Would recommend.	0
163	Works perfectly, no issues at my house	Not sure what is going on in some of the other reviews, but this thing works perfectly for me. It splits the output from my receiver into two 50 foot hdmi cables, one to my projector and one to my LED flat panel. No signal issues at all and the unit does not get very hot at all.	0
164	Long, slim head, charges fast	This is a great charger for my iphone. It is cute in pink, extra long but still charges quick and has the slimmer head that fits through the opening of most phone cases.	0
165	Good Cable!	If you have been searching for the cable to connect your smartphone to your television via HDMI, this is it.  Its length is ideal because you do not need to leave your phone on your television or stay bent over to use it.	0
166	Great sound - easy setup	Bought this unit today and spent a few minutes hooking it up.  The box is HUGE!  There was probably 75% empty space in there.  I pulled it all out and it looks great.  We have a black Panasonic Plasma TV and a black TV stand.  These speakers look wonderful in that context.The standard sound from our TV was disappointing. It sounded a bit like speakers in a tin can.  The sound would carry all around the house and pierce through walls.  So we desperately needed an upgrade.This Vizio unit fit the bill exactly.  It is a middle of the road in terms of price.  One of the best features to me was the wireless subwoofer.  I really didn't want to have to string another cable all over the room.Positives:The sound is amazing.  Deep rich sounds with excellent surround capabilities.  I keep looking to the left or right, because that is where the sound seems to be coming from. Wireless subwoofer.Negatives:I decided to use the digital audio connection - of which there was not a cable included in the box.  That was an extra trip to the store and another $17 spent to get the setup I wanted.	1
167	Very functional	I have used it for taking pictures of articles, copying photos. Just light it on multiple sides with bright lights ( I like daylight CFL's for good color balance , low energy and heat). No glare. Can get tripod over it shooting top down or into it.	0
168	Very Nice Case for the Kyros 7024	This is a very nice case. It is faux leather but looks and feels like the realthing. For you other Kyros 7024 users it is a perfect fit and looks great.	0
169	Economical alternative to the original charger	Be careful when loading the battery. What seems to be the correct side up should  instead be facing down. When loaded correctly, the pilot lamp should be red and then turn green after complete charging. If you start out having the green light on, try flipping the battery to make proper contact with the terminals.	0
170	Works well with the PSP	I own this memory card over 4 months and no problems.  I paid lest then $20 for this....no complaints.  I highly recommend this for the PSP.	0
171	I wish they would have warned of an inherent eSata flaw	First let me say that I own 2 4-bay Mediasonic Proboxes and love them more than any other computer component other than my 6 core AMD Shuttle computer. So when I was looking into buying a third 4-bay box Amazon suggested, as they always so insightfully and accurately do, the 8-bay tower.I connect my Proboxes with eSata not USB 3.0 because USB 3.0 is inferior to eSata in data transfer speed, period. USB 3.0 also does not like to have multiple transfers going at the same time or it slows down to USB 2.0 speeds immediately.What the product description does NOT say, and the instruction booklet does say in plain English, is that some, meaning ALL HOME COMPUTERS WITH PORT MULTIPLIERS DO NOT SUPPORT MORE THAN 5 DEVICES PER eSata port. It booted the first 5 and the other 3 just spun there never connecting. This is unacceptable. Had I known this beforehand, I would have purchased another 4-bay box instead - 2 for my server computer and one for my main download computer.So what I have had to do is take out the 3 drives that I am not currently transferring data to, connect to eSata and do all my FAST, like 95 MBPS transfers. Then when everything is backed up and transferred, put the 8-bay in the server computer's USB 3.0 port and just deal with it.It will be fine in the long run. You cannot get those speeds over even gigabit Ethernet, of which I have, so it will be fine. I am just kinda disappointed.Maybe I expect too much. I just would have liked to have known BEFORE I was forced to read the paper instructions when my 3 lower drives would not connect with eSata. And of course there is no way to split them half USB and half eSata.Everything will be OK and I still love it. It has a WAY better drive door that holds the drives in place and a lock with a key. I am probably gonna keep the bottom bay empty for better air flow and use it as a safe, I mean who is gonna look for money in a computer geek's hard drive tower, right?But if you are most people, and most of you reading this are, you will be using USB 2.0 and not care about speed of data transfer. And if you have an eSata port on your computer it more than likely does NOT support port replicators, like the fabulous  un-port-replicator Zotac eSata port, so buy it, you will be very happy and all your computer geek and non-computer geek friends will be way impressed when they see it on your desk!Remember, hide your keys! hehe.	1
172	Must have accessory for the bamboo	The battery holds a great charge and being wireless is great. This is a must have for the Wacom Bamboo series.	0
173	All that glitters is not gold....	And these adapters prove it: they are pure JUNK! I bought 2 of them, and within 2 days, both were ruined. The little ring that closes off the pin entrance for smaller plug will just pop out, (at the thick end of this adapter, if you look at the picture), and after that, you can toss the rest of it in the bin, too. These are the worst trash you can possibly buy for a dollar!Truly in this case, 'Quality' and 'Adapter' in a sequence are to be considered an oxymoron!	1
174	Working in yongnuo 560II.	Canon ???  World does not spin around canon or nikon.  This is completely compatible with my yongnuo 560ii.  Deffuser works great. Thank you.	0
175	Pretty good.	Very easy to set up and decent web interface. With the current firmware the router is unable to connect to hidden SSIDs, though it can create a hidden SSID. I also wish there was some way to connect to my VPN via the router so I wouldn't have to worry about getting a secure connection with each device. Still it works well, and makes it easy to share a wireless or wired hotel Internet connection with multiple people/devices. It's also great anytime you need a temporary, portable network. It's nice to have the battery built in. Even if you don't use it to charge other devices, it means you don't have to keep the router plugged in while using it.	0
176	Nice radar detector	I've been running the V995 for about two years now, and it is still going strong.  This was my first radar detector, so I don't have anything else to compare it to, but I have been pleased with its performance.  Unlike some of my friend's cheaper radar detectors, the V995 is pretty diligent about not picking up total false positives (it's not going off while driving out in the middle of nowhere like my buddy's does).The range on the V995 is very good.  In highway driving conditions, I've had the V995 pick up radar hits easily several miles in advance.  In city driving, it's picked up radar hits in time for me to take corrective action on multiple occasions.Regarding false-positives; yes, in city driving, there are some stores that will constantly and consistently set this thing off.  If I had the money, I'd buy a higher end radar detector with a built-in GPS that can permanently tune these frequencies and locations out.  As it is, I've learned to just accept and ignore these false-positives.  The auto-mute feature is very handy to have in these cases.  The only other time I've gotten false positives is when the sun is very low in the horizon and I'm driving directly into the sun.  That has set up a laser warning a few times.  I'm not aware of any law enforcement actually running laser in this area, so I could probably turn it off all together, but it's a pretty rare occurrence and I can live with it.For the money, the V995 provides very good performance, and has proven to be very reliable.  I wouldn't hesitate to recommend this unit to anyone looking for a reasonably priced high performance radar detector.	0
177	The adapters make this especially nice	I'm very impressed with this product. It comes with several adapters (miniSD, SD and USB key) as well as a handy carrying case. The various options make it easy for me to move data between devices and I'm not locked into using the card for any particular device.	0
178	It works as expected	Since I already spent so much on the tablet itself, I wanted to spend less on the accessories. This one was no brainer, it is a great value for the money and I am very happy with it.	0
